ECG,EMG,foot GSR,hand GSR,HR,RESP,stress,Driver
0.27323258,0.7104208,0.104370266,0.1844242,0.17880288,0.41379857,-1,11
0.27318037,0.7105087,0.10441443,0.18444842,0.17890291,0.41434926,-1,11
0.2730009,0.7108127,0.10456688,0.1845321,0.17924531,0.41624445,-1,11
0.2729667,0.71086997,0.104595974,0.18454815,0.17931017,0.41660637,-1,11
0.27313182,0.7105905,0.10445559,0.18447097,0.17899594,0.41486162,-1,11
0.27309722,0.7106493,0.10448498,0.18448712,0.17906201,0.41522688,-1,11
0.27294964,0.71089876,0.10461045,0.1845561,0.17934255,0.4167866,-1,11
0.27295986,0.71088123,0.104601696,0.1845513,0.17932312,0.41667837,-1,11
0.27294964,0.71089876,0.10461045,0.1845561,0.17934255,0.4167866,-1,11
0.27291209,0.71096224,0.10464244,0.18457374,0.17941354,0.41718382,-1,11
0.27295986,0.71088123,0.104601696,0.1845513,0.17932312,0.41667837,-1,11
0.2730078,0.71080065,0.104561,0.18452889,0.17923208,0.41617173,-1,11
0.2730284,0.7107653,0.10454346,0.18451922,0.17919303,0.41595405,-1,11
0.27306625,0.7107013,0.10451128,0.18450153,0.17912114,0.4155541,-1,11
0.27311105,0.7106264,0.104473285,0.18448071,0.17903565,0.41508085,-1,11
0.27309376,0.7106556,0.10448793,0.18448874,0.17906858,0.4152634,-1,11
0.27378276,0.7115286,0.1040208,0.18430144,0.17788592,0.4076327,-1,11
0.27377927,0.71153367,0.104023665,0.18430297,0.17789271,0.40766943,-1,11
0.27376863,0.71155053,0.104032435,0.18430772,0.17791368,0.40778077,-1,11
0.27375454,0.71157366,0.104044266,0.18431412,0.17794143,0.40792924,-1,11
0.27377927,0.71153367,0.104023665,0.18430297,0.17789271,0.40766943,-1,11
0.27383238,0.7114486,0.10397962,0.1842792,0.17778806,0.4071123,-1,11
0.27384657,0.7114257,0.10396781,0.18427284,0.17775996,0.40696353,-1,11
0.27386788,0.71139157,0.10395015,0.18426332,0.17771794,0.40673995,-1,11
0.2738928,0.71135193,0.10392951,0.18425223,0.17766866,0.40647864,-1,11
0.27393913,0.711278,0.103891134,0.18423158,0.17757678,0.40599263,-1,11
0.27397138,0.7112263,0.10386445,0.18421723,0.17751285,0.4056551,-1,11
0.2739964,0.71118665,0.10384375,0.1842061,0.17746302,0.40539253,-1,11
