Elapsed time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
'0:00.000',-0.049,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.002',-0.081,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.004',-0.083,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.006',-0.061,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.008',-0.037,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.010',-0.046,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.012',-0.077,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.014',-0.055,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.016',-0.017,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.018',-0.016,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.020',-0.039,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.022',-0.07,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.024',-0.081,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.026',-0.072,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.028',-0.085,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.030',-0.1,0.373,6.252,10.955,89.0,12.48,33.78
'0:00.032',-0.049,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.034',-0.032,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.036',-0.068,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.038',-0.049,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.040',-0.045,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.042',-0.079,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.044',-0.076,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.046',-0.063,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.048',-0.051,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.050',-0.033,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.052',-0.023,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.054',-0.034,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.056',-0.055,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.058',-0.066,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.060',-0.055,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.063',-0.01,0.373,6.252,10.923,89.0,12.48,33.57
'0:00.065',0.01,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.067',-0.01,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.069',-0.049,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.071',-0.044,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.073',0.001,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.075',0.006,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.077',0.033,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.079',0.05,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.081',0.023,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.083',-0.002,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.085',-0.004,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.087',0.027,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.089',0.057,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.091',0.061,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.093',0.045,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.095',0.032,0.249,6.252,10.893,89.0,12.48,33.37
'0:00.097',0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.099',0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.101',0.0,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.103',0.001,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.105',0.017,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.107',0.006,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.109',-0.017,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.111',-0.051,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.113',-0.051,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.115',-0.046,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.117',-0.027,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.119',-0.007,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.121',-0.031,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.123',-0.048,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.125',-0.061,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.127',-0.071,0.249,6.252,10.861,89.0,12.48,33.21
'0:00.129',-0.061,0.352,6.25,10.826,89.0,12.48,33.05
'0:00.131',-0.078,0.352,6.25,10.826,89.0,12.48,33.05
