Col1,Col2,Col3
0.70914274,-0.113181464,-0.6295252
0.70948046,-0.11305416,-0.629162
0.71064156,-0.11261732,-0.62790716
0.7108629,-0.112533726,-0.62766635
0.7097946,-0.11293574,-0.62882334
0.71001834,-0.112851664,-0.6285819
0.71097326,-0.11249205,-0.62754637
0.71090704,-0.11251704,-0.6276185
0.71097326,-0.11249205,-0.62754637
0.7112161,-0.112400666,-0.6272817
0.71090704,-0.11251704,-0.6276185
0.71059704,-0.11263394,-0.6279554
0.7104637,-0.11268385,-0.62809974
0.7102189,-0.11277603,-0.6283651
0.709929,-0.11288572,-0.6286786
0.7100408,-0.11284356,-0.6285577
0.7072206,-0.11537386,-0.63580513
0.70724297,-0.115364864,-0.635781
0.7073111,-0.1153386,-0.6357082
0.7074019,-0.11530379,-0.6356111
0.70724297,-0.115364864,-0.635781
0.706902,-0.11549629,-0.63614476
0.70681095,-0.11553141,-0.63624173
0.70667404,-0.11558424,-0.6363875
0.706514,-0.11564606,-0.6365577
0.7062162,-0.11576102,-0.6368738
0.70600927,-0.11584082,-0.63709307
0.70584816,-0.115903184,-0.63726354
0.70550156,-0.11603689,-0.63762975
0.7061931,-0.11576993,-0.6368982
0.7065826,-0.11561951,-0.6364846
0.7059404,-0.11586769,-0.637166
0.7062389,-0.16408522,-0.6588498
0.7067289,-0.1639197,-0.6583605
0.7064454,-0.16401541,-0.6586437
0.7060838,-0.16413759,-0.6590045
0.7058245,-0.16422471,-0.6592619
0.7055907,-0.16430314,-0.6594936
0.7050687,-0.1644773,-0.6600092
0.7044916,-0.16466941,-0.6605768
0.7044389,-0.16468687,-0.6606285
0.7045177,-0.1646604,-0.660551
0.7044916,-0.16466941,-0.6605768
0.7045177,-0.1646604,-0.660551
0.7044916,-0.16466941,-0.6605768
0.70467544,-0.16460812,-0.6603962
0.70483303,-0.16455573,-0.6602412
0.70483303,-0.16455573,-0.6602412
0.7041124,-0.16413443,-0.66076416
0.7037178,-0.16426644,-0.66115093
0.70263094,-0.16462894,-0.66221046
0.70247084,-0.16468224,-0.6623659
0.70395464,-0.16418715,-0.6609189
0.7056483,-0.1636142,-0.6592451
0.7063182,-0.16338527,-0.6585759
0.70606124,-0.16347362,-0.6588334
0.7058036,-0.16356173,-0.6590907
0.7056745,-0.1636057,-0.65921915
0.70539004,-0.16370283,-0.6595023
0.7053381,-0.16372044,-0.6595539
0.7053641,-0.16371165,-0.65952826
0.705442,-0.16368547,-0.65945095
0.705881,-0.1635354,-0.6590134
0.7060869,-0.16346493,-0.65880764
0.7029877,-0.21481282,-0.68457717
0.7027832,-0.21487449,-0.6847649
0.70295846,-0.21482179,-0.6846039
0.7017848,-0.21517082,-0.6856764
0.7003598,-0.21558331,-0.68696
0.7016074,-0.21522252,-0.68583703
0.7041204,-0.21446674,-0.6835276
0.7056421,-0.21398492,-0.6820931
0.706268,-0.21378027,-0.6814938
0.7062112,-0.21379885,-0.68154854
0.7056706,-0.21397537,-0.6820658
0.70518494,-0.21413194,-0.6825272
0.7048982,-0.2142231,-0.6827979
0.70484066,-0.21424095,-0.68285215
0.70432264,-0.21440408,-0.68333876
0.7033665,-0.21469815,-0.68422776
0.69925296,-0.21753104,-0.6915581
0.69913363,-0.21756767,-0.69166565
0.6995801,-0.21743008,-0.69126284
0.70064497,-0.21709631,-0.6902935
0.70178807,-0.21672775,-0.68923795
0.7024284,-0.21651608,-0.6886392
0.7023412,-0.21654497,-0.68872094
0.7019047,-0.2166893,-0.6891291
0.70126164,-0.21689834,-0.6897258
0.7009392,-0.21700267,-0.6900234
0.7010566,-0.21696489,-0.6899152
0.7011739,-0.21692719,-0.6898071
0.7014959,-0.21682286,-0.68950903
0.7014083,-0.21685159,-0.6895905
0.7009097,-0.21701185,-0.6900504
0.7005862,-0.2171152,-0.69034743
0.6967492,-0.040498838,-0.61791134
0.6965569,-0.040592737,-0.618127
0.6968835,-0.040433466,-0.61776066
0.6971704,-0.040293977,-0.6174385
0.6971895,-0.040284727,-0.61741704
0.69722766,-0.04026634,-0.61737436
0.6973803,-0.040193144,-0.6172029
0.69722766,-0.04026634,-0.61737436
